web-scraper-order,web-scraper-start-url,Single,Single-href,Title,Price,image-src
"1691817258-1","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/classic-polo-striped-men-neck-blue-t-shirt/p/itmad825cc5f5a1b?pid=TSHGHDYABFGKM8FQ&lid=LSTTSHGHDYABFGKM8FQRAFGSR&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_40&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGHDYABFGKM8FQ.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Striped Polo Neck Pure Cotton Blue T-Shirt","₹778","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/p/y/g/s-ap-84-a-af-p-classic-polo-original-imaghdxpa5vcnhqu.jpeg?q=70"
"1691817261-2","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/u-s-polo-assn-solid-men-neck-blue-t-shirt/p/itmc9366ede2f214?pid=TSHGR679DADNQY7B&lid=LSTTSHGR679DADNQY7BXYWPZB&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_39&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGR679DADNQY7B.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Pure Cotton Blue T-Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/r/n/-original-imagrmkfngu2fz7m.jpeg?q=70"
"1691817264-3","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-solid-men-polo-neck-blue-t-shirt/p/itm26d8556ebfb32?pid=TSHGG4FJVVYG43WU&lid=LSTTSHGG4FJVVYG43WUBSM8TE&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_38&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkzPV3KLx6dAQ9icSG7nubNE0qUkUJfatBgN2_WkPoWogg%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹700","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/s/v/y/-original-imagg35bgpvr2ynu.jpeg?q=70"
"1691817267-4","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/actimaxx-solid-men-polo-neck-blue-t-shirt/p/itm0b63ac36d4b34?pid=TSHFJZ8YKRHYKFAY&lid=LSTTSHFJZ8YKRHYKFAY9E6J4M&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_37&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkyjVt1FbwavaAK5YfpFWZ-2ZY1NQ14vFNygXPNCe9qO0A%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/k0y6cnk0/t-shirt/k/e/g/s-ax11-airfrsble-actimaxx-original-imafe4nuyqnvyhjm.jpeg?q=70"
"1691817270-5","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arrow-sport-printed-men-polo-neck-blue-t-shirt/p/itmf9966766e796b?pid=TSHGQCR75CUDTYGJ&lid=LSTTSHGQCR75CUDTYGJHBPCWV&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_36&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGQCR75CUDTYGJ.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Pure Cotton Blue T-Shirt","₹629","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/1/e/1/-original-imagqy2wz2qybshd.jpeg?q=70"
"1691817273-6","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/wrangler-solid-men-polo-neck-blue-t-shirt/p/itm943c08fbf286e?pid=TSHGA2ZREJPDTMBF&lid=LSTTSHGA2ZREJPDTMBF78TSFV&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_35&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGA2ZREJPDTMBF.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹374","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/6/y/l/-original-imagzkruezygyuda.jpeg?q=70"
"1691817276-7","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/flying-machine-printed-men-polo-neck-blue-t-shirt/p/itm17d11551bb96f?pid=TSHGG6DDGWJCJU7D&lid=LSTTSHGG6DDGWJCJU7DVVKBEE&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_34&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGG6DDGWJCJU7D.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Cotton Blend Blue T-Shirt","₹649","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/a/w/w/xxl-fmtsh1078-flying-machine-original-imagg3x7et32apdh.jpeg?q=70"
"1691817279-8","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/wrogn-printed-men-polo-neck-blue-t-shirt/p/itmfeaf07c5417d9?pid=TSHGZVNVQZ8ZERFC&lid=LSTTSHGZVNVQZ8ZERFCN7FTUY&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_33&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGZVNVQZ8ZERFC.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Cotton Blend Blue T-Shirt","₹519","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/f/b/o/-original-imagpvj2hgdtgfcf.jpeg?q=70"
"1691817282-9","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/actimaxx-solid-men-polo-neck-blue-t-shirt/p/itmc0d5371a86df7?pid=TSHFJMMEVTYJZYAD&lid=LSTTSHFJMMEVTYJZYADCADQDJ&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_32&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkyOl8oypAeYqu5YMZHjdkpNqzjB9VfJVqYM21JlgmzgIQ%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/k0y6cnk0/t-shirt/g/6/h/xl-ax10-aqablue-actimaxx-original-imafe4hgqzdbusba.jpeg?q=70"
"1691817285-10","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/swaggerjns-striped-men-polo-neck-blue-t-shirt/p/itm0fce344dd6f89?pid=TSHGR8F9SHZYDHBZ&lid=LSTTSHGR8F9SHZYDHBZ5FMTFM&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_31&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkwjE2fq-jNx-2olLV8-u2dxR7LdjhmfMp8TOqT65-dFIg%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Striped Polo Neck Poly Cotton Blue T-Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/u/x/b/xl-p-core-swaggerjns-original-imagr8f9wgawfegc.jpeg?q=70"
"1691817289-11","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/levi-s-solid-men-polo-neck-blue-t-shirt/p/itm9333e5aec0443?pid=TSHGZCM7ZHFVMCVQ&lid=LSTTSHGZCM7ZHFVMCVQAHFWBQ&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_30&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGZCM7ZHFVMCVQ.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Pure Cotton Blue T-Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/g/s/8/-original-imagq3abhzwdgp8h.jpeg?q=70"
"1691817292-12","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/eyebogler-typography-men-polo-neck-blue-t-shirt/p/itm0ec8aca9c7a67?pid=TSHGRY3R3EHK7GQQ&lid=LSTTSHGRY3R3EHK7GQQ4BQSVL&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_29&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGRY3R3EHK7GQQ.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Typography Polo Neck Cotton Blend Blue T-Shirt","₹339","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/l/x/z/l-t791-lafb-eyebogler-original-imagrk9nqgtfq8gk.jpeg?q=70"
"1691817295-13","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/fervoro-solid-men-polo-neck-blue-t-shirt/p/itm77db5c038a38a?pid=TSHGPGKSCDGDGXPS&lid=LSTTSHGPGKSCDGDGXPSVZCOVW&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_28&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkzl_2budOy8KXUFUc-dKhg4DmFyFLEb_ZUtIhIpK49nVQ%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹474","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/d/o/l/xxl-fmts002-rb1-fervoro-original-imagpgkrynkgzs9d.jpeg?q=70"
"1691817298-14","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/roadster-printed-men-polo-neck-blue-t-shirt/p/itm69e44bcd06226?pid=TSHGZVZVCGKQTGXZ&lid=LSTTSHGZVZVCGKQTGXZ8TAJBP&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_27&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkwKJn9X5YKb538efkES09emBFH97q6Q2i3-dV9gN3rRQA%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Pure Cotton Blue T-Shirt","₹643","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/v/1/e/l-17304792-roadster-original-imagzvzvmyk3jmj3.jpeg?q=70"
"1691817301-15","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/inkkr-solid-men-polo-neck-blue-t-shirt/p/itm7f2ced07b928a?pid=TSHG4H74PSYFYY5H&lid=LSTTSHG4H74PSYFYY5HIV0IQZ&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_26&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHG4H74PSYFYY5H.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹249","https://rukminim2.flixcart.com/image/832/832/kqco5u80/t-shirt/m/o/6/m-solid-men-polo-neck-multicolor-t-shirt-inkkr-original-imag4dqhmyqckr53.jpeg?q=70"
"1691817304-16","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/adidas-solid-men-polo-neck-blue-t-shirt/p/itmea2abeb238456?pid=TSHFZJQJXWZYG2BJ&lid=LSTTSHFZJQJXWZYG2BJXAPXEH&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_25&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHFZJQJXWZYG2BJ.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Solid Polo Neck Cotton Blend Blue T-Shirt","₹1,049","https://rukminim2.flixcart.com/image/832/832/km0x5zk0/t-shirt/i/y/o/m-gr1300-adidas-original-imagfypzkxtfdfkn.jpeg?q=70"
"1691817307-17","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/arrow-sport-printed-men-polo-neck-blue-t-shirt/p/itm5a88a696dfe41?pid=TSHGQCR7RFRF5GGR&lid=LSTTSHGQCR7RFRF5GGRMU3JY0&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_24&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGQCR7RFRF5GGR.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Pure Cotton Blue T-Shirt","₹629","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/w/i/b/-original-imagqy2xwmsjesy2.jpeg?q=70"
"1691817310-18","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/park-avenue-striped-men-polo-neck-blue-t-shirt/p/itmc2535bee8ef21?pid=TSHGMS8RTWBUVHXA&lid=LSTTSHGMS8RTWBUVHXAEWNKNZ&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_23&otracker=search&otracker1=search&iid=c93b96a3-db39-40c4-bae6-e19fc853f6d9.TSHGMS8RTWBUVHXA.SEARCH&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Striped Polo Neck Cotton Blend Blue T-Shirt","₹687","https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/n/d/i/s-pckb01193-b8-park-avenue-original-imagrszjgye3qa3j.jpeg?q=70"
"1691817313-19","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/louis-monarch-printed-men-polo-neck-blue-t-shirt/p/itmf811e401a6827?pid=TSHGRMHRBUGHWCHW&lid=LSTTSHGRMHRBUGHWCHWJBAHN6&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_22&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkx1pH4UBOydNfzkpz8nxF-vtEGzZQ5vf1Oh0s03IZSiWA%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Printed Polo Neck Cotton Blend Blue T-Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-t-shirt/m/n/t/l-lmns-big-printed-tshirt-louis-monarch-original-imagrmbyu2bzjkye.jpeg?q=70"
"1691817316-20","https://www.flipkart.com/search?q=Men%20polo%20tshirts%20blue&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/urbano-fashion-colorblock-men-polo-neck-blue-black-t-shirt/p/itm92b6cde8570f0?pid=TSHGZRA9JSPGTCBQ&lid=LSTTSHGZRA9JSPGTCBQ0FPZFF&marketplace=FLIPKART&q=Men+polo+tshirts+blue&store=clo%2Fash%2Fank%2Fedy&srno=s_1_21&otracker=search&otracker1=search&iid=en_ZOgHYrJ8cr-rImxpKJDWpVMV2FyztLn3DjrkDFGbzkyxShh0nHXfHuC15_pwkPIFXLJVpA0AzRaRq4TX1d3fow%3D%3D&ssid=x8r36paolc0000001691817252264&qH=e6a961f4c1178d92","Men Colorblock Polo Neck Pure Cotton Blue, Black T-Shirt","₹449","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/n/h/x/46-plusshirtsolregp-uf1-black-urbano-plus-original-imagzzxry4c6kswx.jpeg?q=70"
