web-scraper-order,web-scraper-start-url,Single,Single-href,TItle,Price,Image-src
"1691786153-1","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vastani-enterprise-women-embroidered-anarkali-kurta/p/itm7061b0094c7fd?pid=KTAGGRCR8UXDPWH3&lid=LSTKTAGGRCR8UXDPWH3TWP6SJ&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_40&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGGRCR8UXDPWH3.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Cotton Rayon Anarkali Kurta  (Green)","₹380","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/d/n/p/m-ss-41-femvy-original-imaggrbjkzg9gngk.jpeg?q=70"
"1691786156-2","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sintona-s-brand-women-embroidered-anarkali-kurta/p/itm0853feefbd656?pid=KTAGBHRZHPHK2FNR&lid=LSTKTAGBHRZHPHK2FNROGMCUU&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_39&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGBHRZHPHK2FNR.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Viscose Rayon Anarkali Kurta  (Green)","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/x/d/a/s-zalar-kurta-velace-original-imagbhz55veuw4ej.jpeg?q=70"
"1691786159-3","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/gn-sales-women-embellished-flared-kurta/p/itm450f8427269d0?pid=KTAGPGSUZNCFFMYK&lid=LSTKTAGPGSUZNCFFMYKQAALGJ&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_38&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJSHhCqUYZbv49r9DlhP5YFPaGBzowNjLn2rlqLRGovaMA%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embellished Viscose Rayon Flared Kurta  (Light Green)","₹715","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/f/i/p/6xl-trish00125-trisha-enterprises-original-imagkayudysbdwtj.jpeg?q=70"
"1691786162-4","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/nypa-women-printed-straight-kurta/p/itm77f4c5e824219?pid=KTAGHPHW8WJFTFJB&lid=LSTKTAGHPHW8WJFTFJBVYVL9T&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_37&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJQmeDtjBwGhl-L2SXmbHPbLsQT0m5YgdREWepNS6ZN8Sg%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon Straight Kurta  (Green)","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/c/u/4/3xl-nf00151rama-nypa-original-imaghphwqfsrtg69.jpeg?q=70"
"1691786165-5","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/avanshee-women-printed-a-line-kurta/p/itm734b049d2c804?pid=KTAGH77RMT7QTH6X&lid=LSTKTAGH77RMT7QTH6XJUFNF5&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_36&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGH77RMT7QTH6X.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Cotton Rayon A-line Kurta  (Green)","₹489","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/v/n/e/xxl-nayra-3-avanshee-original-imagh77r8xgxvvz9.jpeg?q=70"
"1691786168-6","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dammode-women-embellished-anarkali-kurta/p/itmce568d3afc561?pid=KTAGGHGYDRQDUYGN&lid=LSTKTAGGHGYDRQDUYGNVHUNM1&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_35&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGGHGYDRQDUYGN.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embellished Cotton Rayon Anarkali Kurta  (Green)","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/j/1/y/3xl-410-dammode-original-imaggmg6jh6r4sge.jpeg?q=70"
"1691786171-7","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jai-vijay-creations-women-printed-anarkali-kurta/p/itm943fd9f32cf56?pid=KTAGNSHHFKEDWCHZ&lid=LSTKTAGNSHHFKEDWCHZXPXFNK&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_34&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGNSHHFKEDWCHZ.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon Anarkali Kurta  (Green)","₹455","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/p/q/b/xxl-vr-matr-green-jhal-sonava-club-original-imagmu6nyr6y6c4s.jpeg?q=70"
"1691786174-8","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/bfk-women-printed-a-line-kurta/p/itm3ee84c046335d?pid=KTAGMFH8KXPCQGJS&lid=LSTKTAGMFH8KXPCQGJSSASCDY&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_33&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGMFH8KXPCQGJS.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon A-line Kurta  (Green)","₹315","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/e/k/d/xl-353-bfk-original-imagmeuhegczynr6.jpeg?q=70"
"1691786177-9","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/dmp-fashion-women-embroidered-flared-kurta/p/itme06066d73ce5d?pid=KTAFW3Z5BGZU5NEM&lid=LSTKTAFW3Z5BGZU5NEMNFFNEL&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_32&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJSJgsIF77A60jnx8AFzN4FSS67uSCC4f48bUatmqN8_IA%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Viscose Rayon Flared Kurta  (Dark Green)","₹599","https://rukminim2.flixcart.com/image/832/832/kfpq5jk0-0/kurta/4/f/j/xxl-dmp233-dmp-fashion-original-imafw3z5h8m4tyt4.jpeg?q=70"
"1691786180-10","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/absara-women-colorblock-a-line-kurta/p/itm5fb0486493126?pid=KTAGR5RDYAHYF2CQ&lid=LSTKTAGR5RDYAHYF2CQRKHNCS&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_31&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJT-ULQNs-gRcCL80uM83AJfRfuY26CYGM_z3-i6l0z10g%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Pack of 2 Women Colorblock Viscose Rayon A-line Kurta  (Green)","₹601","https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/t/g/h/3xl-kurta-pant-set-peershah-original-imaghyttrgbuvh4t.jpeg?q=70"
"1691786183-11","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/max-women-embroidered-straight-kurta/p/itm931e82edd31ed?pid=KTAGGGHHDJXMFVCU&lid=LSTKTAGGGHHDJXMFVCULHATTJ&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_30&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGGGHHDJXMFVCU.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Pure Cotton Straight Kurta  (Green)","₹999","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/u/d/k/xxl-tfes22wwph20olive-max-original-imaggghgfgputhe5.jpeg?q=70"
"1691786186-12","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/kamdev-women-printed-a-line-kurta/p/itm3a9dad60f9c5f?pid=KTAGKQNDMEWGQZVH&lid=LSTKTAGKQNDMEWGQZVHPEHORI&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_29&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGKQNDMEWGQZVH.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon A-line Kurta  (Green)","₹342","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/u/8/h/xl-1011-kamdev-original-imagkqndxnwztfaa.jpeg?q=70"
"1691786189-13","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jaipurite-women-paisley-frontslit-kurta/p/itm6a981e4b4bcad?pid=KTAG9Q44FGSAPVZM&lid=LSTKTAG9Q44FGSAPVZMHJSVIU&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_28&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJQMwow2O81g8MV3tE0PR8kjCToftvle_t5mEqbWkI2ImA%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Paisley Viscose Rayon Frontslit Kurta  (Green)","₹753","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/2/n/q/3xl-jai1014-jaipurite-original-imagg2zgmgyrgz2z.jpeg?q=70"
"1691786192-14","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/varicos-women-printed-a-line-kurta/p/itm35c2636fceeda?pid=KTAGRFFYZHATNH97&lid=LSTKTAGRFFYZHATNH97MKXOHU&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_27&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJSgOfiwGNYpYfmPEE6FsBQ0FOKmWvmA54b2uElKGsfbGw%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Cotton Blend A-line Kurta  (Green)","₹799","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/h/6/b/m-k406-varicos-original-imagrfeycepsfcqx.jpeg?q=70"
"1691786195-15","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/gomoswa-international-women-embroidered-a-line-kurta/p/itm8b50fcf2b3042?pid=KTAGGQHRSZNMWXJK&lid=LSTKTAGGQHRSZNMWXJKVNJJRB&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_26&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGGQHRSZNMWXJK.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Viscose Rayon A-line Kurta  (Green)","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/y/6/xl-fd5000-gomoswa-international-original-imaggqhrmkj5y84h.jpeg?q=70"
"1691786198-16","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pearl-ind-women-printed-straight-kurta/p/itmf1f241b9280d9?pid=KTAGY7Y8KDFSDMHH&lid=LSTKTAGY7Y8KDFSDMHHDIO3BC&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_25&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGY7Y8KDFSDMHH.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon Straight Kurta  (Green)","₹439","https://rukminim2.flixcart.com/image/832/832/k7assy80/kurti/f/g/f/l-kantha-pearl-ind-original-imafpjw3qpjusgzg.jpeg?q=70"
"1691786201-17","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mokshi-women-dyed-ombre-a-line-kurta/p/itm78561ee5ad9f7?pid=KTAGM5WPGHFYUKZC&lid=LSTKTAGM5WPGHFYUKZCU0IYWB&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_24&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGM5WPGHFYUKZC.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Dyed/Ombre Viscose Rayon A-line Kurta  (Green)","₹369","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/9/t/c/m-ku779grn-mokshi-original-imagm5wzqgthgaw8.jpeg?q=70"
"1691786204-18","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vastani-enterprise-women-embroidered-straight-kurta/p/itm3c68999b70c88?pid=KTAGAHSKVGH8U6UU&lid=LSTKTAGAHSKVGH8U6UUUVSQVI&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_23&otracker=search&otracker1=search&iid=ac1ab90f-9b40-4457-acd9-038b21ce03b5.KTAGAHSKVGH8U6UU.SEARCH&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Embroidered Georgette Straight Kurta  (Green)","₹375","https://rukminim2.flixcart.com/image/832/832/kxz0pe80/kurta/u/w/v/s-ss-31-hitu-green-femvy-original-imagab5t5jjhzxbz.jpeg?q=70"
"1691786207-19","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vk-kurtis-women-floral-print-anarkali-kurta/p/itmf032514aa0bff?pid=KTAGH2UFWHXESTGE&lid=LSTKTAGH2UFWHXESTGE9SFHPM&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_22&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJQE7lLAu64EAsFa-UVl4CwjkuTSrm47AS9cz3h7-9UuDw%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Floral Print Viscose Rayon Anarkali Kurta  (Green)","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/v/m/t/3xl-wk-270-vk-kurtis-original-imagh3xycbeus4gq.jpeg?q=70"
"1691786211-20","https://www.flipkart.com/search?q=kurta%20green&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/angarkha-women-printed-flared-kurta/p/itm4a18ae6261e33?pid=KTAGRU4PVEXKGE8J&lid=LSTKTAGRU4PVEXKGE8JADQW3D&marketplace=FLIPKART&q=kurta+green&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_21&otracker=search&otracker1=search&iid=en_xVKwwJvsQuITRtUUEY6WbYIX3QV0_xXQgRB4ETABoJQs0zDc4S7SZc4gfXJVsTt5LGCJGgtNmUhs52SBjOhCAg%3D%3D&ssid=egtc9zq5a80000001691786148892&qH=717edd0ccdad8b13","Women Printed Viscose Rayon Flared Kurta  (Green)","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/s/w/a/xl-nayra-cut-angarkha-original-imagru4pfhgjgceh.jpeg?q=70"
