web-scraper-order,web-scraper-start-url,SIngle,SIngle-href,Title,Price,image-src
"1691784198-1","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/avanshee-printed-floral-print-bollywood-satin-saree/p/itmf45a5ab567f38?pid=SARGD4ARWGHXMSYE&lid=LSTSARGD4ARWGHXMSYEZANODV&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_40&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGD4ARWGHXMSYE.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Floral Print Bollywood Satin Saree  (Pink)","₹599",""
"1691784201-2","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/vr-fashions-floral-print-bollywood-chiffon-saree/p/itm75e20c9c87323?pid=SARGBZ7PRKFHYQ7V&lid=LSTSARGBZ7PRKFHYQ7VZJXIEG&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_39&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGBZ7PRKFHYQ7V.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Floral Print Bollywood Chiffon Saree  (Grey)","₹399",""
"1691784204-3","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/mijaashree-embellished-bollywood-lycra-blend-saree/p/itmd3124a231610d?pid=SARGBH8GCKSB4DFC&lid=LSTSARGBH8GCKSB4DFCVMQW9D&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_38&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i0PQdf9PxQPyohxN2N54GSOtcB1SOSVkJj5W3qpQfrAKw%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Embellished Bollywood Lycra Blend Saree  (Purple)","₹360",""
"1691784207-4","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ever-self-design-color-block-digital-print-ombre-dyed-solid-plain-daily-wear-georgette-chiffon-saree/p/itma1376fcbb5bef?pid=SARGDKXVXMAGAHEY&lid=LSTSARGDKXVXMAGAHEYTYJ0YA&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_36&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGDKXVXMAGAHEY.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Self Design, Color Block, Digital Print, Ombre, Dyed, Solid/Plain Daily Wear Georgette, Chiffon Saree  (Grey)","₹487",""
"1691784210-5","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/samah-printed-geometric-print-embellished-bhagalpuri-silk-blend-cotton-saree/p/itm7f0aa91c508f0?pid=SARGBUGFGYVXFQZR&lid=LSTSARGBUGFGYVXFQZRLMKY5H&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_35&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGBUGFGYVXFQZR.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Geometric Print, Embellished Bhagalpuri Silk Blend, Cotton Silk Saree  (Red, Yellow)","₹269",""
"1691784214-6","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/anand-sarees-floral-print-daily-wear-georgette-saree/p/itma693f51f62af5?pid=SARG9HA7KDXYSKFC&lid=LSTSARG9HA7KDXYSKFCRLGE9Y&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_34&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARG9HA7KDXYSKFC.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Floral Print Daily Wear Georgette Saree  (Black)","₹269",""
"1691784217-7","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rajeshwar-fashion-printed-self-design-floral-print-bollywood-georgette-saree/p/itm997d0fe267d52?pid=SARFDSCNJ9DTWNWW&lid=LSTSARFDSCNJ9DTWNWWII2GLJ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_32&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i2NTsHJaRDr_6a32t29-yloWfQrrmbXtPOWQxI-JF6UXw%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Self Design, Floral Print Bollywood Georgette Saree  (Light Blue)","₹499",""
"1691784220-8","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/pd-cloth-villa-embellished-bollywood-georgette-saree/p/itm04fe19628ca76?pid=SARGS3AZGDSPSYEG&lid=LSTSARGS3AZGDSPSYEGCFDJLZ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_31&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i0K8XhC8U44Zbhn1TmQhVq-gNvIfo-XymYMAMTNWwTeLA%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Embellished Bollywood Georgette Saree  (Black)","₹989",""
"1691784223-9","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/lorofy-self-design-bollywood-net-saree/p/itmc052ee4daa3aa?pid=SARG4U8MHBMMZFBB&lid=LSTSARG4U8MHBMMZFBBEKEHFQ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=s_1_30&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARG4U8MHBMMZFBB.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Self Design Bollywood Net Saree  (Red)","₹287",""
"1691784226-10","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/divya-shree-digital-print-banarasi-cotton-blend-saree/p/itm2056ba2fc6141?pid=SARGNZB8XNAUCQ7T&lid=LSTSARGNZB8XNAUCQ7TS8DRDZ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_28&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i2DwIy7poPRmay9YzmpTpr0mRiDMLl-znf483KiJwDMxw%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Digital Print Banarasi Cotton Blend Saree  (Pack of 5, Dark Green)","₹330",""
"1691784229-11","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ever-dyed-daily-wear-georgette-chiffon-saree/p/itm03635d9f826ec?pid=SARGM8Y9FZ2AXUFA&lid=LSTSARGM8Y9FZ2AXUFAYKJY5R&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_27&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i2Nsqq25A06cCkgszPCGzqqrvhB_GExKw7rZ8x1uaLQAg%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Dyed Daily Wear Georgette, Chiffon Saree  (Green)","₹589",""
"1691784232-12","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/friyal-floral-print-banarasi-art-silk-saree/p/itm4223c1b4faf74?pid=SARGH53MSGCCCQM5&lid=LSTSARGH53MSGCCCQM5KSFA1D&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=s_1_26&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGH53MSGCCCQM5.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Floral Print Banarasi Art Silk Saree  (Blue)","₹499",""
"1691784235-13","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/anand-sarees-printed-floral-print-daily-wear-georgette-saree/p/itm8c8767a6a29de?pid=SARG4H6N3KUAJSEH&lid=LSTSARG4H6N3KUAJSEHLXJSNO&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_24&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARG4H6N3KUAJSEH.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Floral Print Daily Wear Georgette Saree  (Red)","₹269",""
"1691784238-14","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/siril-printed-striped-embellished-bandhani-georgette-saree/p/itma09662b1ae62b?pid=SARGG9E9EYA3EADT&lid=LSTSARGG9E9EYA3EADTLHXRD0&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&spotlightTagId=BestsellerId_clo%2F8on%2Fzpd%2F9og&srno=s_1_23&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGG9E9EYA3EADT.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Striped, Embellished Bandhani Georgette Saree  (Green, Gold)","₹999",""
"1691784241-15","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/preethu-woven-mysore-art-silk-saree/p/itm56d9142aacf8c?pid=SARGKC3FH7TKJQ7V&lid=LSTSARGKC3FH7TKJQ7V7OUDT2&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_22&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i0SeZkHLqiPzLtweQH8-EhDxX2CuZUJr882dw92o-MT3Q%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Woven Mysore Art Silk Saree  (Red, White)","₹290",""
"1691784244-16","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/zilvira-self-design-woven-bollywood-cotton-linen-jute-saree/p/itm0900e6794c1fd?pid=SARGHA3HPZSEBYFH&lid=LSTSARGHA3HPZSEBYFHD0BL0B&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_20&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGHA3HPZSEBYFH.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Self Design, Woven Bollywood Cotton Linen, Cotton Jute Saree  (Pink)","₹482",""
"1691784247-17","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ejoty-fashion-floral-print-bollywood-lycra-blend-saree/p/itm2b3defcf467f6?pid=SARFZP5YSGHHMQNG&lid=LSTSARFZP5YSGHHMQNGG2O1K9&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_19&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARFZP5YSGHHMQNG.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Floral Print Bollywood Lycra Blend Saree  (Black)","₹262",""
"1691784250-18","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/jufilox-applique-bollywood-net-saree/p/itm5e308a64ef7c6?pid=SARG67GE5CZAKHDQ&lid=LSTSARG67GE5CZAKHDQFHJSUV&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_18&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i1HEzYr_gvjYdzyLeQ80SfEycTBSj099smy1CC40CmWcg%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Applique Bollywood Net Saree  (Red)","₹384",""
"1691784253-19","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/matruchhaya-embroidered-woven-daily-wear-georgette-saree/p/itm28efb1e1225ac?pid=SARGGCTHFHXASRZY&lid=LSTSARGGCTHFHXASRZYWSDZLZ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_16&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGGCTHFHXASRZY.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Embroidered, Woven Daily Wear Georgette Saree  (Grey)","₹269",""
"1691784256-20","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/anjavi-fashion-embroidered-bollywood-georgette-saree/p/itm9488d40c92227?pid=SARGN39H4EP5WRVM&lid=LSTSARGN39H4EP5WRVMW3Z3YN&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_15&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGN39H4EP5WRVM.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Embroidered Bollywood Georgette Saree  (Magenta)","₹294",""
"1691784259-21","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/sareemall-solid-plain-leheria-georgette-saree/p/itm338655907162a?pid=SARGGSQPNQWT4AMT&lid=LSTSARGGSQPNQWT4AMTAZRMBS&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_14&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGGSQPNQWT4AMT.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Solid/Plain Leheria Georgette Saree  (Light Green)","₹979","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/q/i/q/free-aa002afren2004-sareemall-unstitched-original-imaggsqphhm22f7p.jpeg?q=70"
"1691784262-22","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/svasuenterprise-self-design-solid-plain-bollywood-georgette-saree/p/itm817341d32c7f5?pid=SARGN36RAQGZUSNS&lid=LSTSARGN36RAQGZUSNSQ7X3VX&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_12&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i28DMKpWukCCyNAaVEX5JDsnGpPusBwPlBFRiRccZIDgg%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Self Design, Solid/Plain Bollywood Georgette Saree  (Purple)","₹1,241",""
"1691784265-23","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/keltax-store-printed-geometric-print-embellished-daily-wear-lycra-blend-saree/p/itm5833e1bfaaf67?pid=SARGPV74UGXBWM5H&lid=LSTSARGPV74UGXBWM5HH4SHPR&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_11&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i3aW8-N3IY1Awew0mg3kgi5D3InBgAwLpqyqZ-Rh8CUOg%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Geometric Print, Embellished Daily Wear Lycra Blend Saree  (Black)","₹259",""
"1691784268-24","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/ghosh-textile-woven-handloom-cotton-linen-saree/p/itm79fbbef805eaa?pid=SARGZ3F5FGSZY4NV&lid=LSTSARGZ3F5FGSZY4NV2VSBNZ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_10&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGZ3F5FGSZY4NV.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Woven Handloom Cotton Linen Saree  (Pink)","₹616","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/n/r/k/free-jhilmil-ghosh-handloom-unstitched-original-imaghy5e8tsrj6ut.jpeg?q=70"
"1691784271-25","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/b-k-creation-embellished-bollywood-art-silk-saree/p/itm0c976312b3b49?pid=SARGH4H5HYE2KUYV&lid=LSTSARGH4H5HYE2KUYVQPP4DJ&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_8&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i2ptBzfpLfPAMuycPJ427Wmw3wvzYu2V_pdjHWGxqjM5Q%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Embellished Bollywood Art Silk Saree  (Grey)","₹349",""
"1691784274-26","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/rmscollection-solid-plain-handloom-pure-cotton-saree/p/itmb445d6351b92a?pid=SARGHFXBNDMWTH9F&lid=LSTSARGHFXBNDMWTH9FAWYTOM&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_7&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGHFXBNDMWTH9F.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Solid/Plain Handloom Pure Cotton Saree  (Black)","₹444","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/3/o/9/free-soft-khadi-cotton-rms-collection-unstitched-original-imaghfxbsfjbhhe6.jpeg?q=70"
"1691784277-27","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/balika-bodhu-solid-plain-handloom-pure-cotton-saree/p/itm2be2f310459fa?pid=SARGHX95PRBKSPWK&lid=LSTSARGHX95PRBKSPWKRWLTRG&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_6&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGHX95PRBKSPWK.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Solid/Plain Handloom Pure Cotton Saree  (Red, Black)","₹560","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/x/x/x/free-redcotton-1-madhutextile-no-blouse-original-imagkuynrmshrkhd.jpeg?q=70"
"1691784280-28","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/balika-bodhu-self-design-handloom-pure-cotton-saree/p/itm42421a0427519?pid=SARGHN9YAE9QXFFC&lid=LSTSARGHN9YAE9QXFFCUO57LC&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_4&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGHN9YAE9QXFFC.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Self Design Handloom Pure Cotton Saree  (Black)","₹449","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/e/p/a/free-khadi-balika-bodhu-unstitched-original-imaghn9yhz5fshzp.jpeg?q=70"
"1691784283-29","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/balika-bodhu-solid-plain-handloom-pure-cotton-saree/p/itm5729da05c736b?pid=SARGHX87ZEDGNVHW&lid=LSTSARGHX87ZEDGNVHWHL9QF4&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_3&otracker=search&otracker1=search&iid=b33256e4-c42c-4b0f-b275-7f7f55403f44.SARGHX87ZEDGNVHW.SEARCH&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Solid/Plain Handloom Pure Cotton Saree  (Blue, White)","₹629","https://rukminim2.flixcart.com/image/416/416/xif0q/sari/u/k/8/free-love-par-saree-1016-red-saree-unstitched-original-imagkwfty2zwhfjx.jpeg?q=70"
"1691784286-30","https://www.flipkart.com/search?q=saree%20stylish&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","","https://www.flipkart.com/j-v-p-trends-printed-color-block-daily-wear-georgette-saree/p/itmbe379dbe15642?pid=SARGNTRHYGD7Z4PJ&lid=LSTSARGNTRHYGD7Z4PJWETWDA&marketplace=FLIPKART&q=saree+stylish&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_2&otracker=search&otracker1=search&iid=en_2sFEZLa5_8x5lFFg_3xWhge3lE_4rslb4a9k6sz26i2JD2VITGyeP_30xkwJNjhITTSVzrGeUIUzT09kmBfndw%3D%3D&ssid=uvpy0vrqds0000001691784191707&qH=6cd7156b43012719","Printed, Color Block Daily Wear Georgette Saree  (Yellow)","₹354",""
