web-scraper-order,web-scraper-start-url,single,single-href,Tltle,Price,Image-src
"1691759726-1","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/le-bourgeois-women-striped-casual-black-shirt/p/itm0601ac04a3ac9?pid=SHTGG6H9YYPUGENZ&lid=LSTSHTGG6H9YYPUGENZF5I9EM&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_40&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGG6H9YYPUGENZ.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Striped Spread Collar Casual Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/v/j/4xl-lb1269-le-bourgeois-original-imagg6h9zf6gt5qm.jpeg?q=70"
"1691759729-2","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/v-mart-women-solid-formal-black-shirt/p/itm4f52ef11ebca3?pid=SHTGZBE6FF5HZXVU&lid=LSTSHTGZBE6FF5HZXVUSO2GWF&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_39&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGZBE6FF5HZXVU.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Mandarin Collar Formal Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/j/b/s-594500-v-mart-original-imagzbe6rhbzt7pj.jpeg?q=70"
"1691759732-3","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/abeer-women-solid-casual-black-shirt/p/itmf544443349688?pid=SHTGGUS7HVUGGQZA&lid=LSTSHTGGUS7HVUGGQZAQSEDCF&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_38&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGGUS7HVUGGQZA.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Casual Shirt","₹425","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/c/c/b/xl-uy612-abeer-original-imaggus7ts5dczff.jpeg?q=70"
"1691759735-4","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/tandul-women-printed-casual-black-pink-shirt/p/itm8ee13c24d442c?pid=SHTGPK46DAFVYVKS&lid=LSTSHTGPK46DAFVYVKS6GYHKJ&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_37&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGPK46DAFVYVKS.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Printed Lapel Collar Casual Shirt","₹299","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/v/j/r/s-6439-tandul-original-imagpk45zdzduhmd.jpeg?q=70"
"1691759739-5","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/live-trendz-women-solid-casual-black-shirt/p/itm19610a742d270?pid=SHTGMYPCKGYMZYGH&lid=LSTSHTGMYPCKGYMZYGHASQICK&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_36&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGMYPCKGYMZYGH.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Casual Shirt","₹470","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/l/i/4/xl-womenshirtm-live-trendz-original-imagmypbhx6fkxyt.jpeg?q=70"
"1691759742-6","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/blue-ronin-women-solid-formal-black-white-shirt/p/itm7999b140a5797?pid=SHTGFH39GGGT6J7Q&lid=LSTSHTGFH39GGGT6J7QSG23KC&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_35&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGFH39GGGT6J7Q.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Curved Collar Formal Shirt  (Pack of 2)","₹999","https://rukminim2.flixcart.com/image/832/832/kms2j680/shirt/o/0/y/m-combo-2-tf-bl-wh-blue-ronin-original-imagfh395suharh2.jpeg?q=70"
"1691759745-7","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/yellow-pine-women-solid-casual-black-shirt/p/itmeec9665dfa735?pid=SHTGZ3Q8HACETQWZ&lid=LSTSHTGZ3Q8HACETQWZVXPHRN&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_34&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGZ3Q8HACETQWZ.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Curved Collar Casual Shirt","₹599","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/m/3/j/m-301-hs-black-yellow-pine-original-imagz3q7rtsrhwdg.jpeg?q=70"
"1691759748-8","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/rc-fashion-women-checkered-casual-white-black-grey-shirt/p/itm42b32b44cc9f7?pid=SHTFPFNNTAVN9ZRC&lid=LSTSHTFPFNNTAVN9ZRCQRGIHP&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_33&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTFPFNNTAVN9ZRC.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Checkered Spread Collar Casual Shirt","₹294","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/y/g/k/xl-nw-sh-10-newwear-original-imafgegy2czuwdff-bb.jpeg?q=70"
"1691759751-9","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/selvia-women-solid-casual-black-shirt/p/itm92bf111d8a164?pid=SHTGR7VZHVMFYUX8&lid=LSTSHTGR7VZHVMFYUX802QRSJ&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_32&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGR7VZHVMFYUX8.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Casual Shirt","₹494","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/8/8/u/m-425tk7372-selvia-original-imags8gypqv9athf.jpeg?q=70"
"1691759754-10","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/selvia-women-printed-casual-black-white-shirt/p/itm91758469f12b7?pid=SHTGRZXVXDCEVPTD&lid=LSTSHTGRZXVXDCEVPTD8MDNTM&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_31&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGRZXVXDCEVPTD.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Printed Spread Collar Casual Shirt","₹479","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/q/f/i/m-447tk7455-selvia-original-imagrzxpyrh35pqf.jpeg?q=70"
"1691759757-11","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/sangeeta-devi-women-self-design-casual-white-shirt/p/itmca46dbba3c2aa?pid=SHTGCZ3PQWHDHUYZ&lid=LSTSHTGCZ3PQWHDHUYZRKBG7F&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_30&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGCZ3PQWHDHUYZ.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Self Design Button Down Collar Casual Shirt","₹394","https://rukminim2.flixcart.com/image/832/832/kwtkxow0/shirt/a/1/c/l-bg-096-aqau-blue-side-and-front-button-shirt-s-bhartitrend-original-imag9f6xuhy7px2y.jpeg?q=70"
"1691759760-12","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/bhartitrend-women-solid-casual-white-shirt/p/itm9629b8b706f28?pid=SHTGASCFBBKFXSH8&lid=LSTSHTGASCFBBKFXSH8992K7T&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_29&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGASCFBBKFXSH8.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Button Down Collar Casual Shirt","₹437","https://rukminim2.flixcart.com/image/832/832/kylvr0w0/shirt/6/x/a/xl-bg-093-white-xl-bhartitrend-original-imagascfvjrnfe54.jpeg?q=70"
"1691759763-13","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/style-quotient-women-solid-formal-black-shirt/p/itm8b23f0a7aa831?pid=SHTGRYBA6WFGCJBS&lid=LSTSHTGRYBA6WFGCJBS37IIIZ&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_28&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGRYBA6WFGCJBS.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Formal Shirt","₹699",""
"1691759766-14","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/selvia-women-solid-formal-black-pink-shirt/p/itm4d5033a162e42?pid=SHTGHMYUXQ6QTNTV&lid=LSTSHTGHMYUXQ6QTNTVHJYNYK&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_27&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGHMYUXQ6QTNTV.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Formal Shirt  (Pack of 2)","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/l/x/j/s-329tk253-329tk259-selvia-original-imaghmytkbuu2a8b.jpeg?q=70"
"1691759769-15","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/levaluup-women-graphic-print-casual-multicolor-shirt/p/itm4e7256a33f5a2?pid=SHTGEHP8QFEG7QFN&lid=LSTSHTGEHP8QFEG7QFNKYIEW4&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_26&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGEHP8QFEG7QFN.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Graphic Print Cut Away Collar Casual Shirt","₹359","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/m/w/f/l-bnd-21-foxhil-fashion-original-imagehm5x4hsaupj.jpeg?q=70"
"1691759772-16","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/selvia-women-solid-formal-black-white-shirt/p/itm7f757a59f9b59?pid=SHTGHMYUSWZNNZ9Q&lid=LSTSHTGHMYUSWZNNZ9QLQXJYE&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_25&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGHMYUSWZNNZ9Q.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Formal Shirt  (Pack of 2)","₹699","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/q/v/2/s-329tk253-329tk256-selvia-original-imaghmytjyzvmat7.jpeg?q=70"
"1691759775-17","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/live-trendz-women-solid-casual-black-shirt/p/itm3dcc3a65c3466?pid=SHTGMYPCCZFFZ9UT&lid=LSTSHTGMYPCCZFFZ9UT396TJU&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_24&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGMYPCCZFFZ9UT.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Casual Shirt","₹470","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/x/8/b/4xl-womenshirtm-live-trendz-original-imagmypbsfm2x6r9.jpeg?q=70"
"1691759778-18","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/clugenix-women-solid-formal-black-shirt/p/itm5b83e710d1a42?pid=SHTGMHJUSZZY6ZCF&lid=LSTSHTGMHJUSZZY6ZCFW0G6L2&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_23&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGMHJUSZZY6ZCF.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Solid Spread Collar Formal Shirt","₹399","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/d/7/q/l-formal-shirt-meri-fashion-original-imagmhfezydej7ax.jpeg?q=70"
"1691759781-19","https://www.flipkart.com/search?q=Women+formal+shirts+black&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off&sort=popularity","","https://www.flipkart.com/swaron-women-striped-casual-black-shirt/p/itm0628de02cfb85?pid=SHTGMDPHKCV2ZHGV&lid=LSTSHTGMDPHKCV2ZHGV1ZPV4Y&marketplace=FLIPKART&q=Women+formal+shirts+black&store=clo%2Fash%2Faxc%2Fvop&srno=s_1_22&otracker=search&otracker1=search&iid=fae7fd77-489a-4e94-bf59-ea3e3631da79.SHTGMDPHKCV2ZHGV.SEARCH&ssid=hybkv1uejk0000001691759721034&qH=aa8355876fd1cfe0","Women Regular Fit Striped Mandarin Collar Casual Shirt","₹429","https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/q/i/n/s-407tk343aj-swaron-original-imagqfuyfgt8tfpz.jpeg?q=70"
